time,stock_name,flag,positive,negative,into,inth,intl,intc,v,STX,ImpulseHisto,psi,smooth_velocity,macd,b5
2016-03-11,TEST_TICKER,0,0,0,37.603408566903646,38.58349565120919,37.570070178003455,38.49015426635742,6537400,up,0.003633920332728419,51.317287883729335,0.09796549773354361,0.18059418769571067,0.18059418769571067
2016-03-14,TEST_TICKER,0,0,0,38.45015319608021,38.49015774035393,37.98344622969792,38.14345932006836,4650800,up,0.0,54.73904256451839,0.10030303409389962,0.36012038910219246,0.36012038910219246
2016-03-15,TEST_TICKER,0,0,0,37.770093258674336,37.95677604281384,36.75666770710158,37.0833625793457,5779600,up,0.0,46.25426092996638,0.06445659170223844,0.5554345969638277,0.5554345969638277
2016-03-16,TEST_TICKER,1,1,1,37.05668938622206,37.696746721817256,36.83666824647022,37.543399810791016,6245400,up,0.0,37.74372261922909,0.05709673804471493,0.6550679221112858,0.5554345969638277
2016-03-17,TEST_TICKER,0,0,0,37.643407332024616,37.643407332024616,36.276617435419176,36.883338928222656,8308800,up,0.0,33.41348093291147,0.0281881645685004,0.6576691259836949,0.6550679221112858
2016-03-18,TEST_TICKER,0,0,0,37.063347612902405,37.73674064720141,36.53663276371495,37.716739654541016,11029800,up,0.0,33.957974524752125,0.037110819643673396,0.6216649987684448,0.6576691259836949
2016-03-21,TEST_TICKER,0,0,0,37.68341988411565,37.856767828916574,37.15670481037994,37.343387603759766,6632900,up,0.0,35.08691106289237,0.02696791573933098,0.6278972333844024,0.6216649987684448
2016-03-22,TEST_TICKER,0,0,0,37.170042253577186,38.36348457939052,37.170042253577186,38.336814880371094,7661600,up,0.0,34.84508383026522,0.052430386875512505,0.6117553631545718,0.6278972333844024
2016-03-23,TEST_TICKER,0,0,0,38.11011757450034,38.336804870250205,37.48339507136216,37.57673645019531,5116400,up,0.0,41.418442888719326,0.03965649978748193,0.6721369159380757,0.6117553631545718
2016-03-24,TEST_TICKER,0,0,0,37.43006382231473,37.50340421972684,37.116701230958384,37.41672897338867,5278900,up,0.0,39.516666671256715,0.02637557504384183,0.6587274828013392,0.6721369159380757
2016-03-28,TEST_TICKER,1,0,0,37.5700663126392,37.803422294121965,37.20336696272252,37.41005325317383,3803100,up,0.0,49.90031989535774,0.017488390410546235,0.5914980123165705,0.6587274828013392
2016-03-29,TEST_TICKER,0,0,0,37.40339379580343,38.070120976073454,36.816675708386704,38.03678512573242,4567900,up,0.0,44.79892992591637,0.0317269063790301,0.4315761382551173,0.4315761382551173
2016-03-30,TEST_TICKER,0,0,0,38.29013752788581,38.35680922049122,37.816761897646074,38.00344467163086,3650300,up,0.0,43.708989168979784,0.03676339555172682,0.31111803797623594,0.31111803797623594
