time,stock_name,bias_index,into,inth,intl,intc,v,STX,ImpulseHisto,psi,smooth_velocity,macd,b5,rel_vol
2018-03-21,A,-0.0642605339454213,80.89803550836046,81.40597263443503,79.93223941066631,80.44732666015625,4618000,down,-1.181156883463684,48.28637936287934,-0.21366892790810624,0.5139051659447205,0.5139051659447205,0.671512374411336
2018-03-22,A,-0.0430891626233997,74.53808029016298,74.7598541875694,68.33551216299296,70.18125915527344,26861200,down,-2.0508536319880317,43.840663019933174,-0.6419253279829612,-0.18708742924602006,-0.18708742924602006,3.6629924738822304
2018-03-23,A,0.0463241869170338,70.81798097907574,71.76947149737425,69.65902769216827,69.7234115600586,14253600,down,-2.6883884537115854,40.76057603062042,-0.8884970281082637,-1.2602820241803983,-1.2602820241803983,1.8939068805200086
2018-03-26,A,0.1399744134115232,71.17569004976775,71.47616450110583,65.64560871694157,68.16383361816406,13760600,down,-3.2975625446239194,34.290575783239575,-1.0872658922422824,-2.6628454912629422,-2.6628454912629422,1.7832871806940624
2018-03-27,A,0.1458118375496997,68.32122660694274,68.47861669336642,65.18775241962801,65.824462890625,10821300,down,-3.791854514467123,28.586499313704618,-1.2854404382289513,-4.058502944602381,-4.058502944602381,1.3793181684345397
2018-03-28,A,0.0948040973363088,65.95322974296992,69.2870162795557,65.51683198472668,67.44126892089844,11154200,down,-3.516896319327161,24.912414085739837,-1.3009710934940673,-5.474309457289195,-5.474309457289195,1.4122976838176176
2018-03-29,A,0.0667223732897229,67.62011331534688,68.34982985084791,66.8904022379557,67.71311950683594,7399400,down,-2.818211807580487,24.801863851849724,-1.2742945857325862,-6.601273423093872,-6.601273423093872,0.9321256708069839
2018-04-02,A,0.0441958075520111,67.24809938733776,67.705958350773,64.60110191384588,65.43096923828125,7816500,down,-2.168785009877913,24.527499125835806,-1.3336511727067304,-7.441421987011765,-7.441421987011765,0.9810965236310399
2018-04-03,A,0.0442290302434667,66.06052250211555,66.14637310267102,63.11305617179808,64.80856323242188,10449200,down,-2.215112597298421,28.159523963858888,-1.3592484942973395,-8.20504007305189,-8.20504007305189,1.2938160515802852
2018-04-04,A,0.0926237260684317,63.46359494050063,66.82600267144429,63.4063612142809,66.48976135253906,8841700,down,-2.208513356254512,33.08941356797979,-1.2582784975205379,-8.936453548477346,-8.936453548477346,1.0832315650813689
2018-04-05,A,0.0867648574652469,66.58276295793635,66.72584181729795,65.56688886538656,65.96751403808594,7045000,down,-2.1854698129832855,46.651914093050195,-1.1917276331518936,-9.333144637659672,-9.333144637659672,0.8590070147159058
2018-04-06,A,0.0421747631562439,65.42382892942366,66.36816394421811,63.52085319181073,64.2291030883789,6761200,down,-2.2276056370806634,47.74997643971226,-1.1980553052750704,-9.522438175519326,-9.522438175519326,0.8197556106919838
2018-04-09,A,0.1120878371393237,65.38090505136299,66.80456039934921,64.68696087657311,64.72988891601562,8302100,down,-2.218761485449643,50.5358587403211,-1.1366100814699085,-9.550938953402323,-9.522438175519326,1.0017839310097503
2018-04-10,A,0.0831559822136101,65.45957350039659,67.52709401911564,65.05179276904632,66.97623443603516,6253700,down,-2.1236813840108306,51.893762234922654,-0.9550046506572087,-9.539051029039712,-9.550938953402323,0.7797533696587324
2018-04-11,A,0.108121822812306,66.2322419907845,67.59151352195722,66.10346878345001,66.99057006835938,7135700,down,-1.98398541289095,57.26614134986554,-0.8163256527794229,-9.27332924027715,-9.27332924027715,0.8965393332964785
2018-04-12,A,0.1047386626353794,67.73505923917462,67.73505923917462,66.54964192090198,66.58578491210938,6402500,down,-1.7770778566448353,70.9333456081907,-0.719149041959343,-8.812869971621993,-8.812869971621993,0.8155861864094361
2018-04-13,A,0.0725009197282488,66.95439346311264,66.96162316174703,65.84125700312028,66.37614440917969,4630000,down,-1.5422741272772842,74.70210574905138,-0.637675305556611,-8.307668078903887,-8.307668078903887,0.6069833765213586
2018-04-16,A,-0.0435511007569905,67.14235649305407,67.57604485250535,66.72312202257093,66.9327392578125,3922500,down,-1.2786778439016868,77.7800730387093,-0.5315932731918283,-7.7484818028050455,-7.7484818028050455,0.5224798886868086
2018-04-17,A,-0.0659139405832265,67.36641776155348,67.95190220007066,66.94718886705024,67.6483154296875,4474700,down,-1.0104309908917344,78.23257111086346,-0.40737864025406,-7.151733898075207,-7.151733898075207,0.6003671944348737
2018-04-18,A,-0.0613039439137795,67.94467880062876,68.37836713685243,67.23631695690119,68.17597961425781,5289700,down,-0.7473199376463704,81.83362804304798,-0.28471311840550906,-6.430986529299872,-6.430986529299872,0.7184642194034372
2018-04-19,A,-0.0178628897642939,68.25546927822803,68.32774972677387,66.06533915088511,67.22907257080078,4972900,down,-0.5778261455681921,90.65182135741739,-0.23629218762616183,-5.592772760005673,-5.592772760005673,0.6926225923464291
2018-04-20,A,-0.020445781004038,67.51822378198608,67.80012149136175,66.51350478732937,66.9327392578125,4754800,down,-0.46523011266088865,89.18411561156455,-0.19910040452284242,-4.797924088096465,-4.797924088096465,0.6721237969820867
2018-04-23,A,-0.019043277305416,67.17126758611829,67.80011927125129,67.02670664258373,67.34474182128906,4716300,down,-0.3486053896725565,88.93587359157031,-0.14213888722477125,-4.093176014607266,-4.093176014607266,0.6714196433274443
2018-04-24,A,0.0599467828629345,67.18571998280228,67.56881695249082,65.37145646874801,66.03644561767578,6378300,down,-0.308596114858239,83.33198251424272,-0.1617650948440791,-3.540109856242836,-3.540109856242836,0.9146155224950708
2018-04-25,A,0.0721563780773741,65.74732529906895,66.70144194598846,65.42928457854678,66.40509033203125,5487800,down,-0.28336074673743994,80.88437413257478,-0.14348054063724314,-3.0888306637584293,-3.0888306637584293,0.7854255879456823
2018-04-26,A,0.1562439944817735,67.94465760743948,71.23347036770001,67.6410764182401,70.43114471435547,12594400,down,0.037842801697830275,62.58115789980142,0.07060056303529602,-2.6698295502156952,-2.6698295502156952,1.765750629083011
2018-04-27,A,0.1115022435942748,70.43117623161667,71.81175159913805,69.65776351419338,71.36360931396484,6117600,down,0.361952592630737,54.9402727015309,0.238242213846392,-2.1271060724673134,-2.1271060724673134,0.8578671618445995
2018-04-30,A,0.0551337861443331,71.5948962801541,71.86233455600515,69.76616795266747,69.78785705566406,7449400,down,0.5697774906099653,47.888258706280716,0.2623045980703783,-1.4068280755626716,-1.4068280755626716,1.0444831425070176
2018-05-01,A,-0.0454469350400303,73.7994774716425,74.71745644417037,73.1344883907637,73.77779388427734,11910500,up,0.9790617936073955,37.26391940227155,0.4688654796652385,-0.7844495621574055,-0.7844495621574055,1.655153341921426
2018-05-02,A,0.0261980903293957,73.12725277104201,73.55371684173944,72.25264655868249,72.54900360107422,7625600,up,1.1995779458145996,31.782199619725276,0.5198243898289654,-0.0892426442306089,-0.0892426442306089,1.063024517759407
2018-05-03,A,0.0592066828882325,72.42613642879319,72.83814118846432,71.39250967879063,72.48396301269531,7699500,up,1.310505885705199,35.11751107562158,0.541331446171364,0.48027602514825674,0.48027602514825674,1.0656697255680734
2018-05-04,A,0.0921773630622272,72.20927642696695,72.9537755804972,71.64548116563901,72.40443420410156,5224400,up,1.3638472547781406,37.32091480410126,0.5401218954154249,0.8420369385779622,0.8420369385779622,0.7230194879243954
2018-05-07,A,0.118043859004939,72.82368524653636,73.19954700200954,71.73223194340538,72.01412963867188,6151500,up,1.349782160110026,41.9535251334935,0.5076315475251031,1.0606274499502888,1.0606274499502888,0.8478835096409103
2018-05-08,A,0.0643728039926809,71.6526989692542,72.12253015006512,71.34188808176187,71.84786224365234,7620900,up,1.2342583304338097,41.5293188181832,0.4665496531699854,1.1163733438232981,1.0606274499502888,1.0413808445721768
2018-05-09,A,0.1246857812416621,71.87679322350492,73.75611289484088,71.48647209324618,73.13449096679688,5665600,up,1.2107586696288717,38.565357110359,0.4880197033266966,0.9939472412705612,1.1163733438232981,0.7722696106401349
2018-05-10,A,0.1622352993185497,74.14641785730682,75.03547786460743,73.67658666325907,74.3415756225586,5369700,up,1.2674050323889707,38.04727629140689,0.5393435163496978,0.8993026277303073,0.9939472412705612,0.7345196465573042
2018-05-11,A,0.1350849019792366,74.78250460203408,75.67157025556557,73.75610772842373,75.30293273925781,6358900,up,1.3328701822524636,40.45790604954692,0.5960748028317956,0.9558509293789399,0.8993026277303073,0.871716036811424
2018-05-14,A,0.1125895007325845,75.46194677218668,76.83529746105047,75.41134990276436,76.5389404296875,8471700,up,1.4684255328328724,41.28211583918893,0.6675689028426258,1.1486824472270314,1.1486824472270314,1.1517766975032535
