time,stock_name,bias_index,log_returns,dbscan_cluster
2025-11-12,AAPL,-0.6324306697841977,0.016234592591004512,-1.0
2023-09-26,AAPL,0.5035415753659562,-0.02033210292791756,-1.0
2016-09-16,AAPL,-0.7272593450648683,-0.007615759569893396,-1.0
2023-09-08,AAPL,0.9865303928594932,-0.008352835869750603,-1.0
2023-07-27,AAPL,0.8124670388702773,0.007271990011865859,-1.0
2021-12-16,AAPL,-0.0189914454318756,0.06523804111632459,-1.0
2022-01-31,AAPL,-0.2440119227476938,0.03081669107025648,-1.0
2022-03-23,AAPL,-0.4982193669317905,-0.02151392086543701,-1.0
2022-04-07,AAPL,-0.559361802756065,0.004428028446028713,-1.0
2022-05-18,AAPL,0.2229689513892551,-0.05985208097233606,-1.0
2022-06-24,AAPL,0.232045246749073,0.04628290250563332,-1.0
